epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.86954,1.93061,4.94208,1.30902,0.00244,0.73077,0.01082,0.0044,1.61968,4.5827,1.0813,0.00024,0.00024,0.00024
2,6.15625,1.70086,3.71388,1.15601,0.00269,0.80769,0.00532,0.00196,1.56492,4.59475,1.07056,0.0004901,0.0004901,0.0004901
3,8.23549,1.65166,3.56421,1.10001,0.00269,0.80769,0.00373,0.00136,1.67002,4.60232,1.05941,0.000729904,0.000729904,0.000729904
4,10.2735,1.61937,3.01788,1.16643,0.00205,0.61538,0.07683,0.04812,1.87018,4.90848,1.17314,0.000959412,0.000959412,0.000959412
5,12.3246,1.65789,2.81027,1.20903,0.72905,0.03846,0.03826,0.02588,1.76621,4.42087,1.08494,0.00117862,0.00117862,0.00117862
6,14.3918,1.63196,2.74132,1.15783,0.00244,0.73077,0.00896,0.005,1.82148,4.25724,1.14214,0.00138754,0.00138754,0.00138754
7,16.4008,1.69315,2.4027,1.1479,0.00106,0.07692,0.00227,0.00101,1.86876,5.23951,1.19661,0.00158616,0.00158616,0.00158616
8,18.466,1.63989,2.196,1.17277,0.06747,0.03846,0.00901,0.00407,1.93973,5.96201,1.23319,0.0017228,0.0017228,0.0017228
9,20.5479,1.66633,2.27641,1.18885,0.04785,0.07692,0.01933,0.00656,1.96713,4.6378,1.20179,0.0016832,0.0016832,0.0016832
10,22.6615,1.63297,2.00669,1.19356,0.10463,0.38462,0.10872,0.05648,1.8831,4.03618,1.21383,0.0016436,0.0016436,0.0016436
11,24.7909,1.63623,2.02605,1.21766,0.37854,0.26923,0.22182,0.09308,1.87794,2.97699,1.20362,0.001604,0.001604,0.001604
12,26.8377,1.50685,1.76813,1.14436,0.45811,0.30769,0.32344,0.1446,1.83216,2.58017,1.25479,0.0015644,0.0015644,0.0015644
13,28.8957,1.56511,1.77819,1.12529,0.39292,0.42308,0.37728,0.17696,1.82577,2.78184,1.21761,0.0015248,0.0015248,0.0015248
14,30.9325,1.5196,1.80531,1.11258,0.82569,0.38462,0.50084,0.24267,1.82002,2.23477,1.17253,0.0014852,0.0014852,0.0014852
15,32.9567,1.55925,1.67721,1.11843,0.74039,0.65829,0.72218,0.36771,1.75731,1.90719,1.18298,0.0014456,0.0014456,0.0014456
16,34.9792,1.48059,1.52932,1.10265,0.5712,0.5,0.57764,0.30442,1.60432,2.39833,1.10785,0.001406,0.001406,0.001406
17,37.0075,1.47068,1.44578,1.09156,0.79299,0.58977,0.69449,0.32879,1.71883,2.04501,1.15366,0.0013664,0.0013664,0.0013664
18,39.0404,1.46562,1.40094,1.11388,0.81682,0.5,0.71942,0.35813,1.6367,1.61767,1.12038,0.0013268,0.0013268,0.0013268
19,41.0602,1.41311,1.34723,1.10487,0.81956,0.57692,0.7547,0.38844,1.79694,1.56145,1.2117,0.0012872,0.0012872,0.0012872
20,43.1062,1.43669,1.35578,1.07989,0.75667,0.73077,0.71814,0.40012,1.67392,1.60403,1.17875,0.0012476,0.0012476,0.0012476
21,45.1055,1.54807,1.374,1.13418,0.63202,0.73077,0.59096,0.31601,1.7936,1.74042,1.17716,0.001208,0.001208,0.001208
22,47.4825,1.36351,1.27,1.0687,0.85947,0.65385,0.76787,0.38463,1.79821,1.44112,1.18653,0.0011684,0.0011684,0.0011684
23,49.5069,1.3723,1.18902,1.04793,0.94891,0.73077,0.84041,0.37364,1.92458,1.45282,1.19469,0.0011288,0.0011288,0.0011288
24,51.5319,1.41445,1.22474,1.05023,0.77959,0.69231,0.76268,0.42375,1.59215,1.45596,1.08306,0.0010892,0.0010892,0.0010892
25,53.5956,1.40806,1.19936,1.06926,0.71371,0.80769,0.84044,0.39361,1.82315,1.47939,1.16011,0.0010496,0.0010496,0.0010496
26,55.5981,1.35318,1.12442,1.06894,0.76313,0.61975,0.6745,0.40784,1.66724,1.58208,1.10538,0.00101,0.00101,0.00101
27,57.6079,1.33915,1.08402,1.05725,0.82757,0.69231,0.83083,0.4618,1.67622,1.17541,1.10445,0.0009704,0.0009704,0.0009704
28,59.6545,1.32268,1.04027,1.06121,0.84986,0.73077,0.83079,0.4423,1.66922,1.31562,1.10347,0.0009308,0.0009308,0.0009308
29,61.6556,1.27589,1.04357,1.05397,0.79674,0.90489,0.91644,0.52516,1.60748,1.02229,1.11409,0.0008912,0.0008912,0.0008912
30,63.6433,1.25666,1.00261,1.05944,0.98868,0.61538,0.82401,0.49997,1.62789,1.27487,1.11112,0.0008516,0.0008516,0.0008516
31,65.6779,1.26337,0.9776,1.0207,0.77815,0.80951,0.89058,0.43759,1.84794,1.36349,1.14747,0.000812,0.000812,0.000812
32,67.8906,1.21463,0.90184,0.99685,0.8624,0.80769,0.87435,0.46392,1.7233,1.15168,1.15144,0.0007724,0.0007724,0.0007724
33,69.972,1.25874,0.96037,1.02696,0.86246,0.76923,0.82923,0.42443,1.7736,1.32433,1.13222,0.0007328,0.0007328,0.0007328
34,72.0036,1.18322,0.88801,0.97728,0.85646,0.76923,0.80538,0.42805,1.67845,1.31422,1.10936,0.0006932,0.0006932,0.0006932
35,74.0313,1.21389,0.92762,0.97635,0.86109,0.84615,0.87199,0.47708,1.59355,1.10639,1.08715,0.0006536,0.0006536,0.0006536
36,76.1005,1.19811,0.93282,1.00022,0.87136,0.84615,0.82984,0.43831,1.7097,1.2933,1.09837,0.000614,0.000614,0.000614
37,78.1042,1.21703,0.89669,1.00886,0.83176,0.76087,0.8106,0.46309,1.71748,1.18883,1.12181,0.0005744,0.0005744,0.0005744
38,80.1451,1.20538,0.9266,0.98262,0.76355,0.8697,0.86615,0.48709,1.71968,0.92347,1.12143,0.0005348,0.0005348,0.0005348
39,82.253,1.15879,0.83678,1.00087,0.91063,0.84615,0.93422,0.50658,1.70915,0.89251,1.10274,0.0004952,0.0004952,0.0004952
